Styrk code;Styrk description;Category level 1;Category level 2
8212;Montører av elektriske og elektroniske produkter;Industri og produksjon;Elektro/elektronikk
8219;Andre montører;Bygg og anlegg;Hjelpearbeider Bygg og anlegg
8311;Lokomotiv- og T-baneførere;Transport og lager;Tog-, sporvogn- og vegtrafikk
8312;Skiftekonduktører mv.;Transport og lager;Tog-, sporvogn- og vegtrafikk
8322;Bil-, drosje- og varebilførere;Transport og lager;Tog-, sporvogn- og vegtrafikk
8331;Bussjåfører og trikkeførere;Transport og lager;Tog-, sporvogn- og vegtrafikk
8332;Lastebil- og trailersjåfører;Transport og lager;Tog-, sporvogn- og vegtrafikk
8341;Jordbruks- skogbruksmaskinførere;Bygg og anlegg;Maskin- og kranfører
8342;Anleggsmaskinførere;Bygg og anlegg;Maskin- og kranfører
8343;Kran- og heisførere;Bygg og anlegg;Maskin- og kranfører
8344;Truckførere;Transport og lager;Truckfører
8350;Dekks- og maskinmannskap (skip);Transport og lager;Sjøfart
9111;Renholdere i private hjem;Salg og service;Renholdere og renovasjon
9112;Renholdere i bedrifter;Salg og service;Renholdere og renovasjon
9122;Bilvaskere;Salg og service;Renholdere og renovasjon
9123;Vinduspussere;Salg og service;Renholdere og renovasjon
9129;Andre rengjørere;Salg og service;Renholdere og renovasjon
9211;Hjelpearbeidere i nyttevekstproduksjon;Natur og miljø ;Skogbruk, gartnerarbeid og hagebruk
9212;Hjelpearbeidere i husdyrproduksjon;Natur og miljø ;Jordbruk og dyrehold
9213;Hjelpearbeidere (gårdsbruk/landbruk);Natur og miljø ;Jordbruk og dyrehold
9214;Hjelpearbeidere i gartneri mv.;Natur og miljø ;Skogbruk, gartnerarbeid og hagebruk
9215;Hjelpearbeidere i skogbruk;Natur og miljø ;Skogbruk, gartnerarbeid og hagebruk
9216;Hjelpearbeidere innen havbruk;Natur og miljø ;Fiske, fangst og oppdrett
9311;Hjelpearbeidere i bergverk;Industri og produksjon;Olje, gass og bergverk
9312;Hjelpearbeidere i anlegg;Bygg og anlegg;Hjelpearbeider Bygg og anlegg
9313;Hjelpearbeidere i bygg;Bygg og anlegg;Hjelpearbeider Bygg og anlegg
9321;Håndpakkere mv.;Transport og lager;Logistikk, lagerarbeid og innkjøp
9329;Andre hjelpearbeidere i industri;Industri og produksjon;Andre hjelpearbeidere
9331;Førere av ikke-motoriserte kjøretøy;Transport og lager;Logistikk, lagerarbeid og innkjøp
9333;Laste- og lossearbeidere;Transport og lager;Logistikk, lagerarbeid og innkjøp
9334;Varepåfyllere;Salg og service;Salg, butikk- og varehandel
9412;Kjøkkenassistenter;Reiseliv og mat;Reiseliv, hotell og overnatting
9510;Reklamedistributører mv.;Salg og service;Markedsføring og reklame
9611;Renovasjonsarbeidere;Salg og service;Renholdere og renovasjon
9612;Gjenvinningsarbeidere;Salg og service;Renholdere og renovasjon
9613;Gatefeiere mv.;Salg og service;Renholdere og renovasjon
9621;Bud mv.;Transport og lager;Speditør og befrakter
